,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
our_accuracy,0.0,0.01,0.01,0.0405,0.0899,0.1159,0.1407,0.1859,0.2061,0.2539,0.2688,0.301,0.3244,0.339,0.3592,0.3798,0.3879,0.4071,0.409,0.4165,0.426,0.4342,0.4449,0.4551,0.4599,0.4638,0.4682,0.4689,0.4716,0.4833,0.485,0.4852,0.4827,0.4877,0.4797,0.4911,0.4917,0.4855,0.4987,0.4929,0.4934,0.4933,0.4929,0.4977,0.4987,0.4922,0.5023,0.4977,0.4947,0.4926,0.5045,0.5056,0.4963,0.5002,0.4991,0.5045,0.5086,0.5113,0.507,0.5043,0.4951,0.5081,0.5051,0.5012,0.5073,0.5043,0.5026,0.497,0.5041,0.5059,0.5009,0.4991,0.4944,0.5051,0.5018,0.4994,0.5028,0.5019,0.4975,0.4956,0.5062,0.5059,0.5023,0.5096,0.4962,0.4997,0.5043,0.4954,0.4996,0.5008,0.5052,0.4975,0.4974,0.4977,0.4986,0.4979,0.4997,0.502,0.4966,0.5023,0.4983
our_tra_accuracy,0.0,0.01,0.01,0.03464,0.07776,0.10818,0.13124,0.17672,0.19746,0.24468,0.259,0.29044,0.3209,0.33412,0.35792,0.38188,0.396,0.4182,0.42216,0.43404,0.45276,0.46834,0.47968,0.48996,0.5014,0.50892,0.52574,0.52368,0.53408,0.54598,0.55644,0.55774,0.56476,0.57296,0.5693,0.58152,0.586,0.58516,0.59616,0.59626,0.60054,0.60396,0.60292,0.61152,0.613,0.60776,0.6127,0.62344,0.61856,0.61354,0.62256,0.62928,0.62586,0.62896,0.6261,0.63188,0.63252,0.63296,0.6396,0.63446,0.624,0.631,0.6304,0.6295,0.63554,0.63176,0.63564,0.63352,0.63948,0.63666,0.6422,0.63752,0.62772,0.63898,0.63312,0.62946,0.63556,0.63638,0.63186,0.62876,0.63676,0.6391,0.6388,0.64102,0.63172,0.63912,0.64138,0.62984,0.63136,0.63842,0.64154,0.63698,0.63442,0.63124,0.63308,0.63256,0.63462,0.63784,0.63,0.6402,0.63894
rewards,299.95,457.5,477.5,498.6,466.55,513.35,353.75,346.65,266.25,285.85,209.15,197.3,174.35,192.6,177.25,158.8,151.45,123.1,193.45,155.8,146.45,118.0,93.45,156.8,133.4,94.1,135.8,105.15,113.0,112.6,95.8,93.65,91.8,90.75,87.75,102.95,83.55,109.65,108.85,92.3,70.25,65.55,75.15,101.0,79.25,88.75,70.75,91.75,84.9,96.0,81.45,97.8,63.7,70.4,72.7,87.1,78.4,82.1,80.75,68.85,72.0,49.55,72.4,60.85,81.75,55.9,69.2,40.05,50.8,79.1,76.45,64.5,57.55,74.75,65.85,63.5,69.35,59.1,67.4,48.4,45.6,67.7,73.6,63.75,66.65,56.6,65.25,66.25,62.0,57.75,50.5,48.9,54.05,57.4,53.4,51.0,54.65,48.35,50.15,51.35,
greedy_reward,226.3,310.8,353.8,372.7,334.95,418.2,338.0,238.25,213.25,180.3,170.85,176.4,187.2,139.0,159.45,189.75,174.35,116.9,98.9,100.3,99.75,113.75,111.0,102.15,83.9,97.0,65.25,88.7,60.0,74.15,84.15,82.65,37.9,60.5,75.05,45.7,35.75,40.4,35.15,37.8,34.6,86.65,41.25,41.25,27.85,52.85,15.45,42.55,24.1,51.0,66.45,48.9,4.5,6.75,59.25,29.15,9.85,36.4,28.6,60.85,13.8,51.45,-5.4,17.9,24.6,16.2,-10.35,38.7,29.5,8.2,7.8,53.55,3.1,-4.8,-18.4,39.0,50.95,33.7,-1.75,-33.15,-50.0,-4.1,-7.25,55.6,7.75,16.75,-15.65,33.45,-2.4,52.8,-49.45,-15.8,-56.45,-42.7,-52.65,-25.85,0.7,19.65,-11.35,-2.45,
avg_reward,118.94949999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,68.63799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
