,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
our_accuracy,0.0,0.035629453681710214,0.0339667458432304,0.0618368962787015,0.15138558986539985,0.3515439429928741,0.46357878068091846,0.6051464766429137,0.7026128266033255,0.7049881235154394,0.7049089469517023,0.7060965954077593,0.5938242280285035,0.7775930324623911,0.7938242280285036,0.823673792557403,0.815360253365004,0.8293745051464766,0.8352335708630245,0.8395091053048298,0.8459224069675376,0.822486144101346,0.8426761678543151,0.8452098178939034,0.8498020585906572,0.846159936658749,0.8495645288994458,0.8585114806017419,0.8530482977038797,0.8566112430720507,0.846159936658749,0.8577197149643705,0.855581947743468,0.8648456057007126,0.8589865399841646,0.8608076009501188,0.8646872525732383,0.8580364212193191,0.8618368962787015,0.86215360253365,0.8676959619952495,0.8681710213776722,0.8496437054631829,0.8639746634996042,0.859778305621536,0.860965954077593,0.8638954869358669,0.8590657165479019,0.8701504354711006,0.8639746634996042,0.8598574821852731,0.8626286619160728,0.86270783847981,0.8650039588281868,0.8658749010292953,0.8635787806809184,0.825494853523357,0.8630245447347585,0.8585114806017419,0.8647664291369754,0.8593032462391132,0.8630245447347585,0.8626286619160728,0.8622327790973872,0.8657957244655582,0.8657957244655582,0.8709422011084719,0.8606492478226445,0.8584323040380047,0.8699129057798891,0.8638163103721298,0.8638163103721298,0.7384006334125099,0.8701504354711006,0.8712589073634204,0.8718923198733175,0.8667458432304038,0.8661916072842438,0.8462391132224861,0.8681710213776722,0.868646080760095,0.8654790182106097,0.8545526524148852,0.8684877276326207,0.8615993665874901,0.8714964370546319,0.8652414885193983,0.8721298495645289,0.8632620744259699,0.8651623119556612,0.8728424386381631,0.8679334916864608,0.872763262074426,0.8696753760886777,0.8754552652414885,0.8604908946951703,0.8712589073634204,0.8628661916072843,0.8658749010292953,0.8673792557403008,0.8642121931908155
our_tra_accuracy,0.0,0.03672626182764161,0.03555306179703639,0.07832385421714402,0.18105536994057486,0.4008773495881048,0.5609171363717513,0.7011145400290749,0.8173888648014487,0.8175673952408886,0.8169042821801117,0.818511056135071,0.6853528526613788,0.880104057741845,0.9015532148231273,0.9232319110408325,0.9240480501925579,0.9370807722716723,0.9444260246372006,0.9468234333953939,0.9526639291999286,0.9377693896809406,0.9522303552755745,0.953480068351654,0.9592695554592058,0.9586574510954118,0.9608253207171823,0.9597541380805428,0.9573057206253667,0.9629166772934785,0.9580198423831263,0.963860338187661,0.9662832512943457,0.9663087556428371,0.964038868627101,0.9664362773852941,0.9701089035680583,0.9610038511566222,0.9641918947180494,0.9681195643857278,0.9689357035374532,0.9696498252952128,0.9433293376520697,0.9693692774618072,0.9660792165064144,0.9651100512637405,0.9694457905072815,0.9641153816725752,0.9727103471141829,0.9714351296896121,0.9667678339156827,0.9697518426891785,0.9712055905531893,0.9715626514320692,0.970210920962024,0.970210920962024,0.9412889897727562,0.9722512688413375,0.966971868703614,0.9718687036139662,0.9704659644469382,0.9707210079318523,0.9709505470682751,0.9691652426738759,0.9715371470835777,0.9696243209467215,0.9722002601443546,0.9712310949016807,0.9707975209773266,0.9720982427503889,0.9728633732051315,0.9706189905378867,0.8703869009666149,0.9745976689025478,0.9725828253717259,0.973322451477977,0.9731439210385371,0.9717156775230177,0.9558774771098473,0.9736540080083654,0.9722002601443546,0.9693182687648244,0.9649060164758091,0.9722767731898289,0.9686806600525389,0.9733734601749598,0.9681960774312021,0.9757708689331531,0.9702619296590068,0.9701344079165498,0.9740110688872453,0.9692672600678416,0.9715881557805606,0.968986712234436,0.9724297992807773,0.9637583207936953,0.9726083297202173,0.9678135122038307,0.9703894514014639,0.97283786885664,0.9705934861893953
rewards,240.7,317.5,364.55,409.4,353.3,286.05,354.1,297.6,218.65,256.7,233.15,191.85,90.45,102.95,119.5,144.4,131.95,126.25,137.45,176.9,146.6,118.35,99.9,74.25,122.35,121.45,103.55,93.4,93.3,104.65,88.55,86.8,66.45,87.25,102.2,87.4,78.9,82.8,77.45,92.65,85.2,76.3,70.4,74.1,78.5,66.2,60.45,61.2,46.95,55.75,67.25,54.35,67.65,79.2,86.3,97.5,63.45,68.6,59.65,35.5,67.15,47.1,64.6,53.95,62.15,66.75,54.0,58.3,61.2,67.2,60.8,60.65,53.9,56.4,50.5,68.0,52.55,53.4,56.8,39.05,33.45,48.85,43.15,49.15,64.5,48.1,45.15,49.35,34.35,68.75,45.8,35.3,35.6,40.45,42.65,30.6,36.0,30.35,26.0,28.15,
greedy_reward,152.35,258.5,246.65,261.15,372.8,300.15,250.9,196.2,173.7,189.6,147.85,158.65,133.4,114.05,149.1,112.8,99.35,73.6,87.05,59.4,53.75,56.0,38.25,64.4,48.75,13.9,56.35,25.05,24.65,15.35,68.4,18.4,-8.95,14.4,-12.2,-15.05,7.35,-19.9,-12.75,-3.15,-9.6,-67.95,-61.9,-55.75,-7.3,-95.4,-70.9,-65.85,-31.15,-72.9,-58.0,-56.65,-19.25,-70.95,-102.65,-115.55,-97.1,-112.4,-106.45,-106.9,-74.95,-82.05,-177.45,-155.65,-46.9,-134.95,-104.05,-82.65,-172.9,-117.05,-144.5,-142.1,-109.0,-124.25,-125.25,-228.1,-112.2,-144.6,-175.05,-147.55,-78.1,-213.85,-236.05,-189.3,-161.8,-124.25,-150.35,-197.85,-195.95,-171.2,-208.1,-90.35,-134.5,-193.95,-216.6,-200.6,-276.4,-203.55,-255.65,-295.1,
avg_reward,98.26299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,-38.0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
