,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
our_accuracy,0.1,0.1058,0.1,0.1781,0.2422,0.3593,0.3699,0.3941,0.4144,0.434,0.4388,0.468,0.489,0.4705,0.5366,0.5389,0.5533,0.5365,0.615,0.6185,0.6096,0.6208,0.6342,0.64,0.6434,0.6342,0.666,0.6194,0.6939,0.6756,0.7007,0.7097,0.69,0.7081,0.6646,0.6923,0.7079,0.7028,0.6831,0.7066,0.6817,0.7027,0.6876,0.714,0.6897,0.6872,0.7,0.6902,0.7223,0.6698,0.687,0.6865,0.6996,0.7177,0.7209,0.6974,0.7213,0.6964,0.7121,0.7258,0.7091,0.7212,0.7147,0.7257,0.6885,0.7011,0.7228,0.7372,0.7065,0.708,0.721,0.7136,0.727,0.7209,0.7215,0.708,0.7135,0.7086,0.7354,0.7115,0.7325,0.7324,0.739,0.7153,0.7411,0.7373,0.7323,0.7185,0.7115,0.6977,0.7265,0.7287,0.7247,0.7248,0.6938,0.7092,0.7262,0.7052,0.7214,0.7201
our_tra_accuracy,0.1,0.10564,0.1,0.17924,0.24276,0.35878,0.38006,0.40516,0.43636,0.46142,0.47244,0.51054,0.53722,0.52738,0.60914,0.60424,0.62768,0.61254,0.70996,0.7144,0.69738,0.71106,0.73244,0.73076,0.75028,0.7423,0.78048,0.72586,0.81278,0.78166,0.82104,0.83486,0.8048,0.83244,0.7687,0.81706,0.83266,0.82388,0.79232,0.8253,0.79452,0.82516,0.80388,0.83908,0.81404,0.81214,0.81508,0.80438,0.85006,0.79104,0.80362,0.78806,0.81692,0.83558,0.83782,0.81508,0.8425,0.80542,0.8283,0.84416,0.82568,0.83188,0.83304,0.83778,0.7901,0.80686,0.83338,0.85094,0.8144,0.81514,0.84024,0.82972,0.84116,0.8391,0.8354,0.82832,0.8325,0.82566,0.84978,0.82294,0.84492,0.84152,0.8504,0.82846,0.85446,0.84768,0.84194,0.83328,0.82656,0.8115,0.84132,0.83708,0.83066,0.83248,0.79824,0.80354,0.83198,0.81652,0.8325,0.83098
rewards,476.1,617.25,460.95,471.2,504.65,418.85,305.9,318.55,244.25,262.15,249.6,213.25,212.1,174.35,198.0,204.15,168.0,142.7,134.45,174.0,166.85,134.6,157.05,108.55,121.05,145.9,137.4,123.6,102.65,124.5,115.95,111.65,103.7,120.85,98.25,97.2,109.45,91.85,103.15,92.3,85.9,76.9,87.2,85.8,103.7,83.8,70.0,75.2,78.4,78.65,92.6,93.05,79.05,71.05,81.3,82.95,60.5,68.25,66.65,74.0,65.15,68.15,71.55,66.05,64.65,78.5,65.15,66.2,70.5,64.6,65.65,59.05,60.65,65.85,54.95,51.25,67.1,54.1,60.8,50.95,56.05,57.75,57.25,51.55,55.15,48.9,62.75,66.9,57.75,52.85,60.65,52.0,46.8,45.7,30.45,45.75,44.85,24.7,28.1,32.3
greedy_reward,288.2,361.8,328.25,276.25,277.45,294.15,254.65,265.5,200.3,154.05,181.65,142.4,132.35,130.85,146.05,102.35,93.55,110.75,104.8,89.2,64.45,95.6,75.95,58.65,73.45,48.4,131.2,50.75,75.25,80.65,52.45,127.7,63.35,50.8,56.95,40.15,56.05,27.75,27.9,24.0,28.0,35.25,21.0,104.6,8.25,23.5,26.2,24.05,37.5,17.3,26.55,9.65,94.3,1.2,68.35,23.4,54.3,8.15,31.1,23.15,13.85,13.65,-5.6,-0.65,-3.95,-13.5,-5.85,1.65,-9.8,0.25,-7.95,-0.4,-14.85,14.4,-35.45,11.9,31.85,31.5,22.8,11.2,-2.0,-19.25,-7.7,-17.4,-21.9,-16.95,14.85,-15.1,-31.5,-18.2,-23.55,8.95,-11.95,-25.0,7.9,-9.0,-31.3,-61.3,-41.45,-36.75
avg_reward,121.60950000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,55.78249999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
