,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
our_accuracy,0.0,0.021377672209026127,0.02494061757719715,0.08859857482185274,0.15732383214568488,0.4292161520190024,0.6020585906571655,0.6836896278701504,0.6827395091053048,0.5319873317498021,0.6976247030878859,0.7598574821852732,0.7886777513855898,0.8048297703879652,0.8149643705463183,0.8197149643705464,0.8216943784639746,0.8261282660332542,0.8110055423594617,0.8258115597783057,0.8314330958036421,0.8278701504354711,0.8339667458432304,0.8364212193190815,0.8357878068091845,0.843784639746635,0.8371338083927158,0.8412509897070467,0.8439429928741092,0.8441805225653206,0.8426761678543151,0.8476642913697545,0.8476642913697545,0.8486935866983373,0.8530482977038797,0.8491686460807601,0.8514647664291369,0.8521773555027712,0.8463974663499604,0.8593032462391132,0.8494853523357087,0.8590657165479019,0.8547110055423595,0.8540775930324624,0.8517814726840855,0.8535233570863024,0.8532858273950911,0.8594615993665875,0.8614410134600158,0.8611243072050673,0.8559778305621536,0.8514647664291369,0.8549485352335708,0.8520190023752969,0.856769596199525,0.8646080760095012,0.8623911322248614,0.8551860649247822,0.8601741884402216,0.8596199524940618,0.8553444180522566,0.8596199524940618,0.86270783847981,0.8565320665083136,0.8569279493269992,0.8632620744259699,0.86270783847981,0.8652414885193983,0.8652414885193983,0.8600950118764845,0.8620744259699129,0.8646080760095012,0.8654790182106097,0.8642121931908155,0.8642121931908155,0.8618368962787015,0.8618368962787015,0.859778305621536,0.8616785431512273,0.8564528899445764,0.863341250989707,0.8619160728424387,0.8650039588281868,0.8646872525732383,0.8632620744259699,0.8318289786223277,0.8594615993665875,0.8595407759303246,0.8560570071258907,0.858590657165479,0.8514647664291369,0.8558986539984165,0.8558986539984165,0.8624703087885985,0.8604117181314331,0.8638163103721298,0.8549485352335708,0.8570071258907364,0.8573238321456849,0.8581947743467934,0.8592240696753761
our_tra_accuracy,0.0,0.019893391823305875,0.024152618021372644,0.09604937641867939,0.20150985743069194,0.5201101787854829,0.7087148358795174,0.7901757249611059,0.7890280292789921,0.6000153026090949,0.7972404294932286,0.863322196434492,0.8999209365196766,0.9155806064934071,0.9284858068300645,0.9325409982402,0.9340202504527022,0.9415950419546533,0.9350914330893417,0.9458032594557372,0.9492208421535872,0.9456502333647887,0.9539901553214823,0.9541941901094136,0.957943329337652,0.9601877120048968,0.9556989466704073,0.9567701293070469,0.9587339641408861,0.9623045729296845,0.9592950598076972,0.9620240250962789,0.9629676859904613,0.962457599020633,0.9676859904613737,0.967456451324951,0.9663087556428371,0.9661047208549057,0.9636052947027468,0.9680430513402535,0.9654671121426203,0.9693947818102987,0.9675074600219338,0.9674819556734423,0.9667423295671912,0.9668188426126655,0.9654161034456374,0.9679665382947793,0.9685531383100818,0.971129077507715,0.9692162513708588,0.9685276339615905,0.9676349817643908,0.967277920885511,0.9672524165370195,0.9728123645081487,0.9693692774618072,0.9679920426432707,0.9693692774618072,0.9705679818409039,0.9716901731745262,0.9678135122038307,0.9712565992501722,0.9710780688107322,0.9693182687648244,0.9712565992501722,0.971919712310949,0.970083399219567,0.9723787905837945,0.9689612078859445,0.9714606340381035,0.9712055905531893,0.9722767731898289,0.9707465122803438,0.968986712234436,0.9727358514626744,0.9706444948863782,0.971307607947155,0.9686296513555561,0.9677625035068479,0.9715626514320692,0.9661047208549057,0.9699813818256012,0.970695503583361,0.9733479558264684,0.9505980769721237,0.9702364253105155,0.9714861383865949,0.9698793644316356,0.9683235991736591,0.9653905990971461,0.9685276339615905,0.9694457905072815,0.9722767731898289,0.9712055905531893,0.9725063123262516,0.9689357035374532,0.9685531383100818,0.9692927644163329,0.9710525644622409,0.967456451324951
rewards,168.4,224.4,311.2,313.95,296.5,327.05,277.65,271.6,219.7,198.15,210.1,186.35,147.7,141.65,108.35,115.95,102.1,138.05,104.25,80.45,87.6,91.25,101.35,84.7,95.3,86.25,94.9,75.95,76.5,93.0,79.85,86.8,84.2,73.8,84.45,77.5,80.6,74.75,69.2,66.55,71.8,61.1,66.55,65.25,54.8,48.4,69.5,59.35,56.0,57.7,56.4,48.45,69.3,63.45,59.95,62.5,60.95,59.7,56.05,64.7,67.8,52.3,59.85,68.2,62.3,58.0,59.75,54.3,52.35,54.75,55.85,53.5,55.55,46.3,33.65,45.85,45.35,44.8,54.85,48.2,47.2,42.25,57.1,45.85,56.3,56.9,52.45,46.65,36.5,54.5,48.55,39.3,49.75,49.85,49.35,36.35,45.75,57.0,50.25,56.4,
greedy_reward,162.75,240.85,272.5,286.65,294.35,298.65,299.4,292.75,266.35,186.7,-15.4,62.75,94.35,108.65,116.25,120.55,121.3,114.55,88.1,8.65,-61.7,16.55,48.1,62.45,70.0,74.4,75.1,68.2,41.95,-37.7,-87.45,-9.25,22.45,36.55,44.3,48.45,49.25,42.6,16.2,-63.55,-105.95,-27.7,3.95,18.3,25.8,30.05,30.75,24.2,-2.3,-81.85,-120.75,-42.4,-10.85,3.4,11.05,15.3,16.05,9.15,-17.1,-96.65,-133.6,-55.2,-23.75,-9.35,-1.7,2.4,3.15,-3.55,-30.05,-109.4,-145.1,-66.85,-35.2,-20.95,-13.4,-9.05,-8.3,-15.15,-41.45,-121.1,-155.9,-77.7,-46.0,-31.65,-24.1,-19.7,-19.1,-25.85,-52.2,-131.7,-166.0,-87.85,-56.1,-41.8,-34.3,-29.85,-29.1,-35.9,-62.3,-142.05,
avg_reward,88.71699999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,14.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
