,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
our_accuracy,0.1,0.1,0.1786,0.2031,0.3738,0.4265,0.4851,0.5031,0.531,0.5035,0.5225,0.5834,0.5851,0.6128,0.5963,0.5989,0.6234,0.6101,0.6105,0.6092,0.6297,0.589,0.6022,0.5965,0.6185,0.6283,0.6138,0.6094,0.6403,0.6122,0.6186,0.6179,0.6284,0.6075,0.6307,0.6174,0.6157,0.6194,0.6553,0.6331,0.6139,0.6362,0.6311,0.629,0.6425,0.648,0.6382,0.613,0.6228,0.6394,0.6294,0.6459,0.6493,0.6479,0.6354,0.6436,0.6358,0.6362,0.6316,0.6393,0.6413,0.6586,0.6239,0.6398,0.6401,0.6291,0.6193,0.6364,0.6504,0.6181,0.6352,0.6173,0.6514,0.6427,0.6204,0.6339,0.6407,0.6152,0.6399,0.6157,0.6453,0.6512,0.653,0.6094,0.6649,0.6213,0.5765,0.6605,0.6354,0.5975,0.655,0.6594,0.6099,0.6226,0.6261,0.6359,0.626,0.5728,0.6243,0.6369
our_tra_accuracy,0.1,0.1,0.17654,0.20186,0.36856,0.43102,0.49894,0.51788,0.54662,0.52644,0.55832,0.64266,0.6446,0.68386,0.66476,0.67142,0.71156,0.69438,0.69678,0.69424,0.71772,0.66402,0.6861,0.68208,0.70564,0.71964,0.6973,0.68996,0.73044,0.69804,0.70772,0.70642,0.71944,0.685,0.72216,0.70756,0.70362,0.70356,0.74072,0.72716,0.70756,0.72416,0.7187,0.72524,0.73082,0.73638,0.7296,0.70162,0.70864,0.73184,0.71594,0.73316,0.73542,0.73602,0.71876,0.7318,0.7218,0.71844,0.71634,0.71776,0.7228,0.7391,0.709,0.72862,0.71942,0.716,0.70592,0.72138,0.73384,0.70256,0.717,0.6979,0.73618,0.72806,0.70252,0.7157,0.72646,0.69798,0.72588,0.6961,0.7312,0.73464,0.73596,0.69658,0.74386,0.71012,0.65652,0.74228,0.72134,0.68566,0.74206,0.74074,0.69418,0.71106,0.71308,0.72024,0.71048,0.65268,0.7078,0.72286
rewards,-32.1,-19.3,53.8,100.05,112.2,73.4,88.05,71.65,22.15,-250.4,-209.25,-153.65,-105.6,-99.7,-301.65,-80.65,-239.25,-173.05,-44.45,-604.95,-218.7,-134.2,-394.55,-233.05,-208.35,-505.95,-259.0,-248.25,-189.75,-773.85,-212.1,-573.2,-251.5,-526.5,-166.75,-457.35,-1484.0,-330.2,-805.85,-660.4,-189.1,-140.85,-235.3,-186.6,-264.95,-501.45,-322.9,-399.5,-695.45,-1398.1,-882.1,-287.1,-298.8,-245.05,-322.1,-635.6,-317.85,-313.2,-461.35,-730.2,-254.2,-417.9,-231.9,-843.25,-398.25,-425.1,-590.55,-282.05,-489.85,-424.5,-285.9,-517.35,-889.55,-345.55,-705.15,-233.95,-338.85,-487.7,-896.2,-379.35,-797.85,-388.9,-486.05,-350.0,-449.25,-372.75,-491.1,-748.4,-707.0,-545.3,-355.45,-402.2,-429.8,-275.75,-676.85,-620.4,-1703.7,-795.25,-1095.0,-343.25
greedy_reward,-21.25,64.35,99.65,114.55,120.55,121.15,115.25,95.55,42.2,-96.8,-124.0,-38.35,-3.05,12.05,18.15,18.65,12.65,-7.1,-60.25,-199.6,-158.45,-72.75,-37.4,-22.5,-16.45,-15.6,-21.65,-41.45,-94.75,-233.85,-184.55,-98.7,-63.5,-48.4,-42.55,-41.7,-47.7,-67.45,-120.85,-259.95,-207.7,-121.9,-86.6,-71.65,-65.6,-64.9,-70.8,-90.65,-144.05,-283.25,-229.4,-143.75,-108.25,-93.25,-87.3,-86.6,-92.6,-112.3,-165.85,-304.95,-250.35,-164.8,-129.45,-114.4,-108.35,-107.75,-113.75,-133.45,-186.8,-326.0,-271.15,-185.25,-150.05,-135.1,-128.9,-128.35,-134.4,-154.05,-207.35,-346.7,-291.55,-205.7,-170.45,-155.4,-149.35,-148.55,-154.7,-174.4,-227.85,-366.9,-311.5,-225.75,-190.6,-175.35,-169.4,-168.65,-174.7,-194.5,-247.9,-387.15
avg_reward,-407.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,-118.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
