Our_tra,Our_test,Traditional FL_tra,Traditional FL_test,FL + mobile_tra,FL + mobile_test,Centralized Learning_tra,Centralized Learning_test
0.8046,0.6708,0.4228,0.376,0.5479,0.4593,0.8536,0.7329
0.8215,0.6881,0.4241,0.3748,0.5438,0.4611,0.8577,0.7358
0.8042,0.6776,0.4186,0.3716,0.5464,0.4595,0.8173,0.7037
0.821,0.681,0.4306,0.3812,0.5467,0.4627,0.8481,0.7309
0.8318,0.7006,0.4168,0.3716,0.5465,0.464,0.8611,0.7396
0.8114,0.6843,0.3953,0.3502,0.5461,0.4637,0.8557,0.7376
0.8074,0.6713,0.4029,0.3603,0.5486,0.4651,0.8484,0.73
0.811,0.6699,0.4066,0.3628,0.5467,0.4614,0.8475,0.7287
0.7977,0.6668,0.3989,0.3588,0.5466,0.4597,0.8593,0.7343
0.8158,0.6833,0.4018,0.3585,0.549,0.4649,0.8563,0.7327
0.8246,0.6925,0.4007,0.3609,0.5458,0.4653,0.8643,0.7432
0.8167,0.68,0.4271,0.3823,0.5473,0.4649,0.8515,0.7335
0.8299,0.6861,0.4321,0.3825,0.5455,0.4336,0.8213,0.7201
0.808,0.6754,0.4258,0.3764,0.548,0.4639,0.8507,0.7316
0.8068,0.6786,0.4278,0.3791,0.5483,0.4622,0.8604,0.7398
0.829,0.699,0.4336,0.381,0.5494,0.4658,0.8556,0.7349
0.8138,0.679,0.4333,0.3823,0.5476,0.4628,0.8529,0.7328
0.8229,0.6921,0.4295,0.3838,0.5459,0.4671,0.8488,0.7239
0.8057,0.6775,0.434,0.3867,0.5484,0.4642,0.8446,0.7286
0.8251,0.6919,0.4363,0.3897,0.5494,0.4665,0.8313,0.7121
