,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
our_accuracy,0.1,0.1,0.1817,0.1267,0.3539,0.415,0.4317,0.4502,0.4702,0.4737,0.5035,0.4966,0.5107,0.5141,0.5503,0.5809,0.5534,0.5783,0.5967,0.5808,0.5684,0.5603,0.6419,0.5944,0.6556,0.6539,0.6931,0.6281,0.6232,0.6595,0.6546,0.6586,0.641,0.6833,0.6591,0.6728,0.6746,0.7028,0.6893,0.6533,0.6501,0.6532,0.7068,0.6625,0.6969,0.6861,0.7058,0.7289,0.7291,0.6929,0.6964,0.6906,0.6888,0.7001,0.6794,0.7073,0.7268,0.6744,0.7117,0.6852,0.7239,0.7228,0.6733,0.7059,0.6924,0.7064,0.6992,0.7241,0.6948,0.6619,0.696,0.7171,0.6624,0.6713,0.7332,0.6883,0.7291,0.6952,0.7198,0.71,0.7061,0.7062,0.694,0.714,0.6893,0.6702,0.707,0.6812,0.7235,0.6647,0.6765,0.7044,0.6996,0.6842,0.6696,0.7211,0.6821,0.7161,0.6688,0.7255
our_tra_accuracy,0.1,0.1,0.17888,0.1245,0.34992,0.41978,0.44314,0.46942,0.49188,0.50284,0.53774,0.53142,0.55224,0.56154,0.60898,0.64398,0.61974,0.64284,0.66658,0.66212,0.63344,0.6324,0.72382,0.68798,0.7526,0.74622,0.80028,0.73004,0.72444,0.75248,0.7491,0.76892,0.72492,0.7808,0.7586,0.76532,0.76494,0.79784,0.80198,0.73792,0.7415,0.73886,0.815,0.75468,0.7852,0.7902,0.80734,0.8355,0.83786,0.8056,0.81144,0.80204,0.79646,0.81678,0.77916,0.80752,0.83838,0.77786,0.81002,0.80098,0.83808,0.83192,0.77924,0.8169,0.80104,0.81134,0.80824,0.82982,0.79798,0.74858,0.8065,0.8211,0.76102,0.76104,0.84432,0.79304,0.83812,0.80248,0.80958,0.81788,0.8102,0.81464,0.78574,0.8105,0.79068,0.75978,0.81218,0.77926,0.82516,0.7579,0.76904,0.81126,0.79764,0.78616,0.76614,0.82928,0.7806,0.81366,0.76728,0.8302
rewards,431.0,486.15,556.75,491.45,535.9,428.05,398.9,264.2,320.8,272.2,266.85,229.7,228.55,206.1,183.6,222.75,183.05,180.3,173.2,136.6,160.8,136.95,140.5,125.9,139.0,113.65,109.65,128.85,105.45,96.5,116.5,105.8,121.85,98.8,113.65,98.8,92.85,101.7,97.55,104.05,86.05,74.0,83.05,83.95,87.7,95.2,77.3,81.3,81.95,76.65,95.5,77.05,74.4,81.0,67.1,65.5,103.85,72.55,62.15,82.35,77.4,76.75,58.9,68.25,69.7,74.95,78.35,83.4,64.8,71.9,61.15,69.55,45.6,49.5,73.25,69.6,68.5,67.3,64.1,88.1,66.0,62.6,74.85,60.3,58.5,68.55,74.45,60.45,72.9,59.4,56.05,66.55,46.8,51.0,39.8,51.8,53.5,49.1,55.7,47.3
greedy_reward,306.3,391.7,420.2,415.25,413.1,311.0,290.15,268.65,303.35,284.7,217.55,220.05,191.6,183.8,206.45,133.45,172.9,142.75,76.2,91.0,106.4,140.95,185.3,124.35,104.95,96.6,96.15,117.2,94.25,90.1,57.95,62.85,94.95,69.3,60.6,61.25,95.9,50.9,71.25,82.75,62.8,35.4,41.45,35.6,107.45,39.45,60.35,63.35,63.85,13.25,63.5,48.9,48.9,22.75,3.7,13.95,25.8,4.85,37.2,78.8,46.15,45.15,45.65,13.45,28.1,25.1,1.65,-8.35,3.6,-29.65,-5.45,0.65,34.0,-14.0,-6.7,-8.95,18.65,41.0,18.75,40.35,13.15,-30.95,42.05,54.85,28.3,20.7,-10.95,-3.65,-13.45,-36.85,63.25,42.35,-18.15,13.9,-52.9,-43.6,-13.0,-29.2,2.2,13.3
avg_reward,126.7015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,81.05900000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
