,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
our_accuracy,0.1,0.1002,0.1193,0.2614,0.2674,0.271,0.3605,0.3971,0.4196,0.458,0.4786,0.4714,0.5037,0.514,0.5331,0.5624,0.5916,0.6617,0.6484,0.6293,0.6225,0.6431,0.6857,0.6549,0.6865,0.6661,0.6602,0.6843,0.6901,0.6718,0.6823,0.6725,0.668,0.6935,0.704,0.708,0.7239,0.7022,0.7017,0.6783,0.7164,0.7243,0.7123,0.6678,0.7239,0.7011,0.6993,0.6999,0.7333,0.7124,0.7179,0.7327,0.7046,0.7331,0.7124,0.7302,0.7322,0.7376,0.7202,0.718,0.735,0.7254,0.7355,0.7324,0.7324,0.7387,0.7353,0.7378,0.7336,0.7231,0.734,0.7342,0.7347,0.7456,0.7316,0.7312,0.7326,0.7203,0.7348,0.7238,0.7377,0.7311,0.7382,0.7396,0.7272,0.7359,0.7408,0.7322,0.7482,0.7424,0.7307,0.7411,0.7384,0.7479,0.7354,0.7237,0.7292,0.7375,0.7373,0.7412
our_tra_accuracy,0.1,0.10004,0.11416,0.2634,0.26908,0.27588,0.37464,0.41724,0.44352,0.48832,0.51582,0.51378,0.54758,0.56714,0.5911,0.63122,0.66176,0.73874,0.7333,0.71626,0.708,0.72864,0.78602,0.74978,0.78476,0.77464,0.76846,0.79464,0.80856,0.78166,0.79806,0.77938,0.77722,0.80796,0.8195,0.8236,0.8413,0.82342,0.81474,0.78,0.83282,0.83948,0.82804,0.7774,0.84336,0.82054,0.8158,0.81064,0.84684,0.82714,0.83272,0.84848,0.82428,0.85014,0.82448,0.84972,0.84878,0.85016,0.83238,0.82212,0.85354,0.83832,0.85078,0.84758,0.84762,0.85446,0.8524,0.85158,0.85018,0.83802,0.84124,0.84824,0.84824,0.85766,0.84684,0.84588,0.84464,0.8335,0.84814,0.83832,0.85046,0.84498,0.8496,0.8551,0.84122,0.85274,0.85222,0.8464,0.86182,0.85946,0.84538,0.8577,0.85204,0.85758,0.84722,0.84016,0.84184,0.85302,0.855,0.8563
rewards,191.9,237.4,305.4,317.9,263.4,272.8,243.65,276.95,242.95,221.3,84.8,73.45,123.95,138.65,90.6,104.05,128.8,127.7,94.95,95.0,93.7,113.45,99.85,107.25,77.65,77.95,65.95,77.9,76.45,66.8,64.25,79.7,67.3,69.35,56.75,71.4,15.65,59.95,65.75,56.8,59.15,64.65,68.75,68.8,60.3,68.3,53.3,66.95,68.85,69.1,58.9,57.75,52.7,57.45,50.95,49.65,53.65,46.0,63.25,47.25,49.85,53.6,54.3,54.6,57.85,50.1,54.6,54.9,48.2,58.35,58.1,45.05,46.65,54.2,43.0,23.15,53.95,47.7,45.2,48.15,46.75,49.2,47.3,54.25,27.55,27.15,43.05,44.45,44.05,37.6,44.9,51.05,56.65,43.0,37.0,52.65,46.05,47.85,19.35,40.6
greedy_reward,201.35,238.7,254.55,274.6,279.75,287.8,262.35,219.4,229.65,212.2,117.6,162.7,83.6,77.65,100.65,77.45,73.65,74.25,70.35,71.05,57.65,67.3,46.9,62.65,51.65,38.1,53.35,26.2,21.9,36.1,35.5,32.7,21.3,45.25,71.85,53.4,63.05,43.2,67.85,60.05,39.9,20.3,105.2,71.75,71.9,40.85,41.85,50.4,56.15,63.2,52.65,25.3,11.4,22.0,5.4,7.85,1.5,-0.55,-3.15,-14.95,9.2,40.15,5.25,3.4,5.35,9.95,-1.4,21.75,48.6,41.15,31.9,11.45,13.25,32.6,13.75,27.35,-8.95,-13.25,45.9,44.0,18.2,3.7,11.85,-2.9,28.35,-7.5,22.05,-5.5,-26.95,-11.35,6.2,11.45,2.85,14.85,26.25,-31.5,-24.65,-37.1,-35.45,-18.55
avg_reward,81.47100000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,53.199000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
