,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
our_accuracy,0.0,0.05463182897862233,0.035629453681710214,0.25613618368962787,0.4808392715756136,0.5799683293745052,0.6927157561361836,0.7297703879651624,0.7815518606492479,0.7826603325415677,0.7817893903404592,0.7551860649247822,0.7991290577988915,0.8247822644497229,0.8146476642913697,0.8395882818685669,0.8390340459224069,0.8433095803642122,0.8361836896278702,0.8400633412509897,0.8452098178939034,0.8510688836104513,0.8561361836896278,0.8471892319873318,0.857403008709422,0.8544734758511481,0.8608867775138559,0.8582739509105305,0.8513855898653998,0.8511480601741884,0.8388756927949327,0.8576405384006334,0.8577197149643705,0.8511480601741884,0.8541567695961996,0.8666666666666667,0.8656373713380839,0.8661916072842438,0.8596991290577989,0.8647664291369754,0.8608076009501188,0.8695170229612035,0.8677751385589866,0.8650039588281868,0.8693586698337292,0.8634204275534442,0.8617577197149644,0.8588281868566904,0.866825019794141,0.863341250989707,0.8711797307996832,0.866825019794141,0.8742676167854315,0.8711005542359461,0.8721298495645289,0.8735550277117973,0.8683293745051465,0.8738717339667459,0.872763262074426,0.8752969121140143,0.8705463182897862,0.8650039588281868,0.8616785431512273,0.8707046714172605,0.8695170229612035,0.8632620744259699,0.8697545526524149,0.8724465558194774,0.8728424386381631,0.8705463182897862,0.8729216152019003,0.8605700712589074,0.8706254948535234,0.8724465558194774,0.8677751385589866,0.8707046714172605,0.8754552652414885,0.873950910530483,0.8717339667458432,0.873950910530483,0.8779097387173397,0.8714172604908947,0.8711797307996832,0.8722882026920031,0.8746634996041172,0.8680918448139351,0.8699920823436262,0.8770387965162312,0.8593824228028504,0.8747426761678543,0.8794140934283452,0.8684877276326207,0.8767220902612827,0.8802058590657166,0.8752177355502772,0.8735550277117973,0.8707046714172605,0.8756136183689628,0.8741092636579573,0.8818685669041963,0.8719714964370546
our_tra_accuracy,0.0,0.05355913183197735,0.03596113137289908,0.2757275115407177,0.519319543982249,0.6763243132954169,0.7868601596572216,0.8414139610803641,0.8836746665306435,0.8829605447728838,0.8830370578183581,0.8475350047183045,0.904460710551149,0.920273406615828,0.9222882501466501,0.9458797725012115,0.9483281899563876,0.9465428855619883,0.944017955061338,0.9496799204264327,0.9531740161697569,0.9561580249432529,0.959218546762223,0.9583769032620062,0.9610038511566222,0.9574077380193323,0.9602897293988625,0.9635797903542554,0.9596776250350685,0.9593970772016629,0.948481216047336,0.9625596164145986,0.962279068581193,0.9617434772628733,0.9622025555357189,0.9666148078247341,0.9690377209314188,0.9662832512943457,0.9632227294753756,0.9691907470223673,0.961845494656839,0.965747659976026,0.9653650947486546,0.9629931903389528,0.9667678339156827,0.9647019816878778,0.959830651126017,0.9609018337626566,0.9670228774005968,0.9653395904001633,0.9677114948098651,0.9635032773087812,0.9693947818102987,0.9690887296284016,0.9698538600831442,0.9670483817490882,0.9680430513402535,0.9688081817949961,0.9705679818409039,0.9684511209161162,0.9682215817796934,0.9683746078706419,0.9675584687189166,0.9675584687189166,0.968502129613099,0.963554286005764,0.9626361294600729,0.9699303731286184,0.9674819556734423,0.9668443469611568,0.9677625035068479,0.9610293555051136,0.9665637991277513,0.9684256165676248,0.965263077354689,0.9697008339921956,0.9704914687954296,0.9706189905378867,0.9677625035068479,0.970210920962024,0.9692672600678416,0.9674819556734423,0.9690122165829274,0.9703129383559898,0.9701599122650412,0.9704149557499554,0.9664107730368028,0.9710270601137494,0.9534290596546712,0.9698283557346528,0.9681705730827106,0.9673034252340024,0.9697008339921956,0.9698028513861613,0.9708230253258181,0.9725828253717259,0.9683235991736591,0.9703894514014639,0.9697263383406871,0.9725318166747431,0.9699303731286184
rewards,428.05,427.9,450.8,519.7,437.05,374.45,279.5,296.55,271.55,219.3,221.75,193.7,213.35,158.6,190.75,163.3,166.65,162.15,142.65,157.5,123.45,128.2,125.7,128.95,104.4,108.1,101.8,115.7,116.85,105.5,113.85,88.8,91.4,91.25,108.4,81.05,95.25,81.9,80.55,80.55,82.05,86.2,88.4,88.9,67.0,80.95,65.7,78.6,73.0,68.35,71.0,71.15,79.5,53.5,66.8,64.5,73.75,64.5,57.45,66.25,60.35,69.85,51.3,66.0,56.8,65.3,65.2,70.45,64.0,61.85,52.55,51.15,56.7,56.9,49.45,56.85,57.7,52.35,58.85,55.8,52.55,58.2,50.65,61.65,60.7,55.35,39.25,37.4,34.1,37.55,37.6,32.6,39.75,29.35,30.9,35.75,41.1,-12.5,33.45,26.35,
greedy_reward,232.75,287.0,323.2,258.05,223.35,196.35,167.3,182.2,125.45,140.9,148.3,112.45,91.7,87.45,118.6,74.1,50.75,76.0,48.3,58.75,42.55,63.8,122.65,41.85,43.6,39.8,38.85,46.6,36.4,10.2,30.2,1.7,35.55,28.5,10.5,21.9,25.1,11.35,-4.35,11.9,1.95,6.4,-7.8,-7.75,-14.45,-9.6,-1.85,-13.35,-2.75,-20.95,-31.3,-4.25,-11.65,36.45,-40.4,-47.7,-19.65,-21.3,-27.75,-40.3,-19.8,-9.9,-52.6,-25.85,-53.1,-8.75,-20.0,-20.3,17.4,-52.95,-72.15,-48.8,-32.95,-43.7,-54.5,-66.6,-56.05,-56.9,-85.3,-48.6,-31.05,-47.9,-61.4,-82.2,-5.3,-63.7,-63.35,3.4,-61.3,-63.3,-95.25,-84.6,-64.45,-84.35,-77.85,-85.0,-82.45,-40.9,-82.1,-104.35,
avg_reward,109.55600000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,12.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
