,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
our_accuracy,0.035629454,0.018527316,0.135866983,0.391448931,0.553444181,0.658115598,0.725969913,0.739113222,0.76485,0.79881235,0.77672209,0.739192399,0.74125099,0.76010293,0.639113222,0.682897862,0.711005542,0.724148852,0.721694378,0.723515439,0.770704671,0.735471101,0.793111639,0.803721298,0.812351544,0.818527316,0.826207443,0.831749802,0.817181314,0.838796516,0.839034046,0.84631829,0.852810768,0.85621536,0.862787015,0.860728424,0.869675376,0.054235946,0.873950911,0.67189232,0.872842439,0.875376089,0.875376089,0.875376089,0.858353127,0.878780681,0.8797308,0.877038797,0.883927158,0.883452098,0.878305622,0.885985748,0.88456057,0.887727633,0.888677751,0.891686461,0.887806809,0.883610451,0.890815519,0.892240697,0.892953286,0.890973872,0.881472684,0.891607284,0.89263658,0.897941409,0.894378464,0.894378464,0.896832937,0.887490103,0.896041172,0.899049881,0.890023753,0.890023753,0.900158353,0.899841647,0.898970705,0.898178939,0.899683294,0.897545527,0.886064925,0.896674584,0.892319873,0.901187648,0.895882819,0.90023753,0.901187648,0.89746635,0.901029295,0.898178939,0.896120348,0.904354711,0.896041172,0.899049881,0.901979414,0.901979414,0.904038005,0.904671417,0.901266825,0.899841647,
traditional_accuracy,0.021377672,0.023198733,0.019714964,0.071813143,0.089944576,0.141726049,0.154394299,0.121931908,0.205621536,0.180205859,0.301900238,0.199604117,0.323832146,0.290023753,0.352019002,0.371179731,0.395091053,0.435866983,0.448139351,0.490340459,0.447901821,0.491290578,0.408788599,0.49239905,0.573238321,0.384481394,0.442755344,0.555423595,0.57949327,0.562945368,0.502929533,0.590577989,0.580680918,0.594457641,0.603800475,0.644893112,0.55368171,0.592715756,0.644576405,0.670625495,0.642992874,0.631670625,0.652019002,0.626049089,0.664528899,0.67141726,0.677672209,0.688281869,0.667062549,0.690498812,0.684402217,0.69263658,0.698416469,0.645447348,0.67719715,0.681710214,0.696674584,0.675613618,0.685748219,0.674109264,0.68685669,0.655027712,0.685193983,0.655027712,0.688281869,0.696041172,0.669200317,0.679889153,0.698891528,0.647347585,0.688915281,0.691290578,0.700633413,0.659065717,0.693665875,0.71797308,0.685193983,0.701108472,0.724703088,0.704196358,0.686698337,0.723436263,0.685273159,0.689469517,0.692794933,0.706809184,0.709026128,0.676088678,0.714172605,0.718685669,0.708946952,0.693665875,0.687252573,0.719873317,0.709263658,0.709817894,0.732699921,0.717022961,0.72810768,0.719002375,
mobile_fl_accuracy,0.011243072,0.052256532,0.100791766,0.295882819,0.289073634,0.34354711,0.488440222,0.453998416,0.519319082,0.580047506,0.642042755,0.670704671,0.695328583,0.696991291,0.737133808,0.739588282,0.743388757,0.749485352,0.758511481,0.752573238,0.735075218,0.770467142,0.755898654,0.768804434,0.776247031,0.772604909,0.773871734,0.699287411,0.776405384,0.775851148,0.719160728,0.77949327,0.772050673,0.777434679,0.785827395,0.776484561,0.789152811,0.78939034,0.790498812,0.792082344,0.787015044,0.793269992,0.790577989,0.785748219,0.788361045,0.786381631,0.779651623,0.796991291,0.79746635,0.794457641,0.797149644,0.801346002,0.794061758,0.76152019,0.797624703,0.800316706,0.801425178,0.798574822,0.798970705,0.797070467,0.800395883,0.769992082,0.799841647,0.799524941,0.806809184,0.805621536,0.801741884,0.794536817,0.796991291,0.771496437,0.807917656,0.783847981,0.801662708,0.802850356,0.805779889,0.803562945,0.804988124,0.801029295,0.808234363,0.804354711,0.805700713,0.811163895,0.812747427,0.806809184,0.80736342,0.789152811,0.782660333,0.805542359,0.79746635,0.80277118,0.796437055,0.803721298,0.808155186,0.808155186,0.791211401,0.805542359,0.804117181,0.804908947,0.797070467,0.80807601,
centralized_accuracy,0.160253365,0.2949327,0.504988124,0.631353919,0.688519398,0.727949327,0.748218527,0.761599367,0.772604909,0.798891528,0.816785432,0.804671417,0.801108472,0.811955661,0.804908947,0.791844814,0.805700713,0.815518606,0.829136975,0.842755344,0.839904988,0.819398258,0.833729216,0.834679335,0.829612035,0.834600158,0.8304038,0.8202692,0.83871734,0.760886778,0.567062549,0.852256532,0.84837688,0.673475851,0.845447348,0.85114806,0.881551861,0.823119557,0.862866192,0.868329375,0.86429137,0.855977831,0.839984165,0.867616785,0.86381631,0.842438638,0.861124307,0.85138559,0.814251781,0.856373713,0.852494062,0.850831354,0.830720507,0.832462391,0.837371338,0.849247823,0.835550277,0.841092637,0.838083927,0.835787807,0.847030879,0.845051465,0.852969121,0.83871734,0.801583531,0.844734759,0.863578781,0.822406968,0.837925574,0.83570863,0.844022169,0.834916865,0.834916865,0.832383215,0.863182898,0.851543943,0.842834521,0.845209818,0.828978622,0.844734759,0.854790182,0.834362629,0.858273951,0.861916073,0.844022169,0.868091845,0.820902613,0.850356295,0.847980998,0.854711006,0.794536817,0.839904988,0.857957245,0.861599367,0.83871734,0.826207443,0.846476643,0.840934283,0.823673793,0.816864608,
our_tra_accuracy,0.035961131,0.012114566,0.164962126,0.45055982,0.657527608,0.765002933,0.825703282,0.85419164,0.83772348,0.7438088,0.7269,0.754362519,0.768239435,0.741309393,0.800122421,0.832870004,0.86299064,0.875079701,0.864546405,0.868219031,0.913234206,0.875564284,0.930934224,0.940549364,0.945471703,0.947078477,0.954678773,0.957484251,0.946542886,0.955902981,0.959269555,0.962253564,0.963171721,0.967048382,0.969573312,0.96574766,0.970695504,0.970695504,0.970899538,0.798566656,0.973475478,0.973934556,0.9697,0.97384784,0.962661634,0.973245938,0.974827208,0.974419138,0.975337295,0.975847382,0.974036573,0.977862226,0.977862226,0.979953582,0.97865286,0.980310643,0.979468999,0.977734704,0.981305313,0.982044939,0.979315973,0.979596521,0.974113086,0.980565686,0.980285139,0.982453008,0.980846234,0.980846234,0.981356321,0.979902573,0.9812288,0.981330817,0.978703869,0.978703869,0.984365834,0.984416843,0.980489173,0.983243643,0.984059782,0.981866408,0.977454156,0.9835752,0.980591191,0.983549695,0.981891913,0.98275906,0.984544365,0.982861078,0.981687878,0.9818154,0.980667704,0.984824913,0.983549695,0.98275906,0.98258053,0.983422173,0.982937591,0.983498687,0.981483843,0.983218139,
traditional_tra_accuracy,0.019893392,0.019026244,0.021143105,0.093039863,0.09648295,0.167767604,0.17342957,0.140554465,0.253870285,0.209696753,0.349180035,0.202479023,0.359611314,0.310311408,0.406692341,0.433012829,0.436251881,0.478818639,0.520747787,0.545614527,0.469637073,0.557193501,0.446912699,0.544186284,0.634267643,0.435512255,0.487031039,0.613711138,0.63026346,0.623708842,0.543523171,0.651585095,0.65648193,0.648065495,0.667805861,0.698691627,0.609451912,0.644571399,0.698691627,0.722920758,0.713611671,0.701726644,0.725904767,0.689663088,0.738070341,0.733938637,0.739167028,0.748348593,0.73460175,0.75689255,0.75179168,0.756458976,0.765768063,0.708536305,0.736310541,0.760769211,0.754240098,0.745211559,0.754087072,0.74222755,0.751562141,0.717717871,0.748527124,0.710933714,0.756739524,0.764875411,0.729985463,0.752276263,0.769134637,0.704277079,0.760692698,0.759927568,0.767196307,0.736489071,0.759136933,0.772424698,0.75179168,0.767808411,0.781988829,0.76275855,0.752072228,0.787599786,0.748884185,0.754214594,0.763319646,0.772603229,0.776887959,0.751893698,0.776199342,0.778571246,0.782983499,0.764441837,0.75806575,0.789053534,0.787242725,0.783136525,0.797189421,0.789257568,0.793618812,0.792420108,
mobile_fl_tra_accuracy,0.016679844,0.05126374,0.125787447,0.326175113,0.346476574,0.380473871,0.526129205,0.501032926,0.574561963,0.646178173,0.70011987,0.739141524,0.759162437,0.75982555,0.792853682,0.805580351,0.812696065,0.811191308,0.815986126,0.82070443,0.795786682,0.829783978,0.818664082,0.82950343,0.837027213,0.836262083,0.840648831,0.764288811,0.838276926,0.83970517,0.796143743,0.839858196,0.8293249,0.840801857,0.844499987,0.833788161,0.845800709,0.845392639,0.848937744,0.848376648,0.848453161,0.850646535,0.850468005,0.843097248,0.843199265,0.846846387,0.831798822,0.849371318,0.854064118,0.852355327,0.852508353,0.851182127,0.846693361,0.818562065,0.850161953,0.852992935,0.852890918,0.853375501,0.852355327,0.853630544,0.852992935,0.825116682,0.8486827,0.850161953,0.855645388,0.854982274,0.854472188,0.849218292,0.84674437,0.83383917,0.855619883,0.843479813,0.853860083,0.855007779,0.855441353,0.855211814,0.853528527,0.854701727,0.854599709,0.855160805,0.852839909,0.857660231,0.857736744,0.855925935,0.853681553,0.840725344,0.841796526,0.855517866,0.8486827,0.855390344,0.852151292,0.851054605,0.855874927,0.856869596,0.845979239,0.85301844,0.854293657,0.855058788,0.848249126,0.856155475,
centralized_tra_accuracy,0.205565049,0.363487975,0.598281007,0.759749037,0.810247647,0.861001301,0.871993675,0.884847867,0.888750032,0.910020659,0.940268816,0.940141294,0.931367798,0.944885103,0.934300798,0.920375424,0.928256268,0.930169094,0.953378051,0.952969981,0.953199521,0.938202964,0.950649086,0.945471703,0.949450381,0.954117677,0.938075442,0.938917085,0.946109312,0.884567319,0.659848504,0.952536407,0.959244051,0.795812186,0.952306868,0.951822286,0.974929225,0.936366651,0.962661634,0.971307608,0.966716825,0.960697799,0.948863781,0.971817695,0.972353286,0.94850672,0.961794486,0.960289729,0.933561172,0.961615956,0.960366242,0.956821138,0.953505573,0.946466373,0.950929634,0.95401566,0.946364355,0.948251677,0.945726746,0.956668112,0.963707312,0.953760616,0.957586268,0.950164503,0.915988676,0.95929506,0.968961208,0.938738555,0.955520416,0.942997781,0.953658599,0.945369686,0.941901094,0.949220842,0.967379938,0.966028208,0.949603407,0.955392894,0.940498355,0.948659746,0.95812186,0.939554694,0.965696651,0.966308756,0.94850672,0.971231095,0.935142442,0.960927338,0.953633094,0.95712719,0.884592823,0.948863781,0.96750746,0.968068556,0.945624729,0.945599225,0.950368538,0.948940294,0.93659619,0.933357137,
