,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
our_accuracy,0.0,0.01,0.0213,0.0764,0.1173,0.1462,0.1803,0.2007,0.2286,0.256,0.281,0.2881,0.3122,0.3289,0.3456,0.3661,0.3759,0.3906,0.399,0.4098,0.4165,0.4171,0.4271,0.4339,0.4336,0.4328,0.4399,0.4429,0.4475,0.4466,0.4398,0.4552,0.4406,0.4515,0.4498,0.4494,0.4511,0.45,0.459,0.4492,0.4588,0.4528,0.4549,0.4583,0.4546,0.4551,0.453,0.4529,0.4569,0.4535,0.4609,0.4605,0.4586,0.4576,0.4638,0.4584,0.4589,0.4554,0.4573,0.4577,0.4589,0.4571,0.4629,0.4527,0.462,0.4607,0.4594,0.4659,0.4607,0.4601,0.4608,0.4534,0.4531,0.4555,0.4571,0.4541,0.4582,0.4556,0.4651,0.458,0.456,0.4571,0.4564,0.4586,0.4621,0.46,0.4574,0.4669,0.4548,0.4641,0.4578,0.4546,0.4575,0.4602,0.4581,0.4602,0.4546,0.4601,0.4541,0.4621,0.455
our_tra_accuracy,0.0,0.01,0.02036,0.0652,0.10938,0.1407,0.1697,0.19448,0.22688,0.25738,0.27604,0.29056,0.3198,0.34022,0.35626,0.37782,0.3935,0.4169,0.42708,0.44402,0.45776,0.46764,0.48534,0.49606,0.49712,0.50358,0.51946,0.52384,0.53994,0.54834,0.54772,0.56216,0.55458,0.56842,0.56648,0.57622,0.5774,0.58242,0.58144,0.59096,0.58986,0.58988,0.5986,0.5986,0.59898,0.60016,0.59596,0.60236,0.60162,0.60122,0.60868,0.60548,0.60756,0.60398,0.60912,0.61316,0.60756,0.6037,0.60758,0.61072,0.61418,0.61046,0.61618,0.61428,0.61264,0.61518,0.6119,0.62144,0.61774,0.61866,0.6187,0.6141,0.61526,0.60982,0.61178,0.61592,0.61792,0.61118,0.61586,0.61624,0.6184,0.62134,0.62158,0.61642,0.6103,0.6154,0.61598,0.62422,0.61842,0.61602,0.62298,0.6151,0.6156,0.6215,0.61504,0.62224,0.61934,0.61908,0.61912,0.61928,0.61922
rewards,-435.2,36.2,72.95,123.85,105.1,141.05,146.95,118.05,51.6,-114.8,19.85,16.95,-96.55,-22.8,-610.95,-412.55,-100.8,-10.6,-41.65,-378.4,-481.6,-37.45,-91.4,-220.2,-206.8,-580.55,-123.8,-148.35,-85.9,-309.4,-727.35,-120.25,-64.6,-1002.35,-730.1,-158.7,-343.4,-198.3,-245.3,-182.5,-506.25,-954.3,-656.9,-485.25,-248.35,-267.0,-218.65,-935.35,-111.75,-194.95,-526.0,-289.75,-613.35,-423.45,-292.35,-169.2,-260.15,-309.4,-275.05,-151.75,-334.7,-164.3,-553.2,-314.75,-373.95,-255.35,-536.45,-420.5,-329.55,-476.0,-283.9,-344.15,-227.85,-868.85,-221.65,-427.35,-223.6,-233.3,-276.65,-347.45,-860.3,-381.95,-386.65,-527.4,-417.75,-239.25,-354.55,-279.05,-274.05,-296.25,-1252.95,-459.7,-409.3,-693.35,-304.05,-372.8,-287.3,-289.3,-300.9,-493.25,
greedy_reward,-55.25,60.45,106.25,125.1,132.75,134.25,129.95,113.6,68.2,-51.2,-168.4,-52.5,-6.6,12.2,19.65,21.3,16.95,0.35,-44.8,-164.25,-201.4,-85.45,-39.6,-20.7,-13.3,-11.75,-16.3,-32.65,-77.95,-197.3,-225.5,-109.65,-63.75,-44.9,-37.3,-35.75,-40.15,-56.7,-101.8,-221.3,-246.75,-130.95,-85.05,-66.2,-58.55,-56.9,-61.4,-77.8,-123.15,-242.55,-266.8,-150.9,-104.9,-86.1,-78.45,-76.75,-81.3,-97.8,-143.0,-262.4,-285.9,-170.05,-124.15,-105.25,-97.7,-96.15,-100.4,-116.9,-162.15,-281.65,-304.7,-188.85,-142.85,-124.05,-116.4,-114.8,-119.3,-135.8,-181.15,-300.6,-323.1,-207.35,-161.45,-142.6,-134.95,-133.45,-137.7,-154.15,-199.5,-319.05,-341.5,-225.65,-179.65,-160.85,-153.35,-151.6,-156.1,-172.45,-217.95,-337.35,
avg_reward,-314.32849999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,-110.11450000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
